© 2000-2019 QIAGEN. All rights reserved.

Upstream Regulator	Molecule Type	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
methylselenic acid	chemical reagent	9.13E-03	AKR1C1/AKR1C2,ATF3,BIRC3,CAMK2N1,CFLAR,GDF15,ID3,MAZ,MXD1,SCD,ULBP2,ZFX	112 (7)
triolein	chemical drug	9.13E-03	FADS2,FASN	 
patulin	chemical toxicant	9.13E-03	ATF3,IL1B	 
MRPS18B	other	9.13E-03	SOX2,TUBB3	 
DGAT2	enzyme	9.13E-03	SCD,SREBF1	46 (6)
AGR2	other	9.13E-03	AREG,MUC1	 
HMGCR	enzyme	9.13E-03	CCN2,IL1B	113 (8)
ISG15	other	9.13E-03	IFI6,OAS1	 
casticin	chemical - endogenous non-mammalian	9.13E-03	CFLAR,IL1B	 
Pde4d	enzyme	9.13E-03	CTSV,ITGB2	 
ubiquinone 9	chemical - endogenous mammalian	9.13E-03	HSPA1A/HSPA1B,IL1B	84 (7)
GLP-1 (7-36) amide	biologic drug	9.13E-03	FASN,SCD	 
S-allyl-L-cysteine	chemical - endogenous non-mammalian	9.13E-03	FASN,SREBF1	115 (7)
CNTF	cytokine	9.25E-03	ACHE,FASN,NTF3,SCD,SLC18A3,SREBF1	89 (10)
GMNN	transcription regulator	9.25E-03	DUSP4,DUSP5,EOMES,GBP3,PHYHIP,SOX2	 
zinc	chemical drug	9.25E-03	AKR1B10,CNN1,FAS,IL1B,NRTN,SCD	178 (14)
PPARGC1A	transcription regulator	9.26E-03	CCN2,EGFL6,EMILIN2,FASN,FBXO32,GDF15,IL1RN,INSIG1,NCEH1,OLR1,PDGFRL,SCD,SREBF1,TIMP3,XDH	157 (21)
CD40	transmembrane receptor	9.30E-03	BIRC3,CD83,CFLAR,DAPP1,FAS,IL15RA,IL1B,IL1RN,ITGB2,RASGRF1,TNFRSF9	134 (12)
SREBF1	transcription regulator	9.41E-03	FADS2,FAS,FASN,FBXO32,HMGCS1,HSPA1A/HSPA1B,IL1B,INSIG1,NCF2,PLA2G3,SCD,SREBF1	141 (15)
ursolic acid	chemical drug	9.57E-03	ATF3,FASN,GDF15,IL1B,OLR1	137 (14)
HMGB1	transcription regulator	9.78E-03	CD274,CD83,FASN,IL1B,RELB,SREBF1	162 (18)
NSUN6	enzyme	9.80E-03	CCN2,DAB2,FSTL1,ITGB2	 
TFAP4	transcription regulator	9.80E-03	CLDN1,GDF15,LGR5,PHYHIP	 
MEOX2	transcription regulator	9.80E-03	EFNA1,HBEGF,ID3,ID4	 
cyclopamine	chemical reagent	9.80E-03	FAS,GLI1,HHIP,SOX2	38 (3)
CEBPA	transcription regulator	9.89E-03	AKAP12,AKR1B10,AKR1C1/AKR1C2,AKR1C3,FASN,FHL1,GLI1,HDAC4,HLA-B,IFI6,IL1RN,LOR,OLR1,PGD,SAA1,SCD,SREBF1,TUBB2A	143 (16)
TAL1	transcription regulator	9.91E-03	AZGP1,CDH23,ERG,HLA-B,IL31RA,LYST,MCTP1,MUC1,NR4A3,SPRY2,TNFAIP1	13 (2)
TWIST1	transcription regulator	9.97E-03	EGFL6,FAS,GLI1,GPC1,IL1B,OSGIN1,RELB,TIMP3,TLL2	 
ACKR1	G-protein coupled receptor	1.00E-02	CITED2,TNFAIP2,UBD	 
tamibarotene	chemical drug	1.00E-02	CEACAM1,ITGB2,TFAP2C	 
carbenoxolone	chemical toxicant	1.00E-02	CCN2,FASN,SREBF1	 
SYK	kinase	1.00E-02	AKAP12,BIRC3,CITED2,GLI1,IL1B,OAS1,SREBF1	 
FGF2	growth factor	1.01E-02	ACER2,AKR1B10,ANGPTL4,AREG,CFLAR,CRYAB,DIO3,FAS,GLI1,HBEGF,ID3,IL1B,NTF3,SCD,SPRY2,TIMP3,TUBB3	 
Smad2/3	group	1.02E-02	CNN1,EOMES,FSTL3,MXD1,TIMP3	 
NRIP1	transcription regulator	1.02E-02	AREG,CRABP1,FASN,IL1B,SCD	 
clozapine	chemical drug	1.02E-02	FASN,HMGCS1,NR4A3,SCD,SREBF1	 
SMAD3	transcription regulator	1.03E-02	ANKRD1,AREG,CCN2,DUSP4,FSTL3,GLI1,HBEGF,ID3,IL1B,MXD1,SOX2,TIMP3	 
FGF19	growth factor	1.03E-02	AREG,FASN,FBP1,IL1RN,SCD,SREBF1	 
SMO	G-protein coupled receptor	1.03E-02	DIO3,FAS,GLI1,HHIP,LGR5,SOX2	 
histamine	chemical - endogenous mammalian	1.03E-02	AREG,CLDN1,GDF15,HBEGF,IL1B,NTF3	 
CSF2	cytokine	1.05E-02	BIRC3,CARD16,CASP1,CD33,CD83,CEACAM1,FAS,GDF15,HBEGF,ID3,IL1B,IL1RN,LAMP3,LY96,RELB,SREBF1,TNFRSF9,UBD,ZNF25	 
Cdc42	enzyme	1.07E-02	CASP1,CTSS,CTSV,FAS	 
monocrotaline	chemical toxicant	1.07E-02	FHL1,ID3,IL1B,TUBB3	 
ERN1	kinase	1.09E-02	ATF3,FAS,FASN,IL1B,LGR5,PROS1,SCD,TXNDC5	 
LCN2	transporter	1.09E-02	CAPG,FASN,IL1B,IL1RN,SCD,STRA6	 
MAFB	transcription regulator	1.09E-02	AKR1B10,ARHGDIA,FBLN5,IL7R,MTSS1,OLFML2B	 
homocysteine	chemical - endogenous mammalian	1.09E-02	ATF3,FGF1,IL1B,OLR1,SAA1,SREBF1	 
SNAI2	transcription regulator	1.09E-02	ANKRD1,CCN2,CLDN1,ID4,MUC1	 
STAT6	transcription regulator	1.10E-02	AREG,CTSS,FASN,GBP3,IFIT3,IL1RN,IL31RA,INPP1,ISG20,LACC1,LOR,MMP28,MVK,PDCD1LG2,PROS1,RASGRP3,SERPINB6	 
FOS	transcription regulator	1.11E-02	AKR1C3,ATF3,CCN2,CFLAR,COL16A1,CRABP1,CTSV,CYP2J2,FASN,FOSB,FSTL1,HLA-B,KRT13,MXD1,NBPF10 (includes others),NCF2,SCD,SERPINB7,STX11,TLL2,XDH	 
dasatinib	chemical drug	1.14E-02	ANKRD1,CCN2,SREBF1	 
BMP15	growth factor	1.14E-02	AREG,ID3,SLC29A2	 
STK4	kinase	1.14E-02	FAS,IL7R,PROS1	 
MAP3K5	kinase	1.14E-02	CCN2,LOR,TGM1	 
mezerein	chemical - endogenous non-mammalian	1.14E-02	HLA-B,IFI6,INSIG1	 
haloperidol	chemical drug	1.15E-02	FOSB,HMGCS1,NR4A3,RASGRF1,SLC18A3,SPRY2	 
PRKAA	group	1.17E-02	CLDN1,FASN,NCF2,SREBF1	 
T3-TR-RXR	complex	1.17E-02	AKR1C1/AKR1C2,AKR1C3,FASN,SREBF1	 
conjugated linoleic acid	chemical drug	1.17E-02	ANGPTL4,GDF15,IL1RN,ITGB2	 
RNASEH2A	enzyme	1.17E-02	IFI35,IFIT3,ISG20,OAS1	 
F7	peptidase	1.17E-02	CCN2,CLDN1,HBEGF,IL1B	 
Fcer1	complex	1.17E-02	CD83,CFLAR,IL1B,IL1RN,TNFRSF9	 
lactacystin	chemical - protease inhibitor	1.17E-02	AKR1C1/AKR1C2,ARHGDIB,ATF3,CFLAR,CRYAB,FAS,FBP1,HLA-B,SREBF1,TUBB2A	 
E. coli B5 lipopolysaccharide	chemical - endogenous non-mammalian	1.18E-02	BIRC3,CD274,CD83,FASN,IL15RA,IL1B,IL21R,IL7R,ISG20,NCF2,VTN,XCR1	 
mifepristone	chemical drug	1.19E-02	AREG,ATF3,CASP1,CCN2,CEACAM1,DDIT4,FAS,HBEGF,IL1B,MUC1,NRTN,PADI2,TIMP3	 
CHCHD5	other	1.20E-02	FASN,SREBF1	 
TRIB1	kinase	1.20E-02	FASN,SCD	 
TTN	kinase	1.20E-02	CRYAB,FHL1	 
miR-217-5p (and other miRNAs w/seed ACUGCAU)	mature microRNA	1.20E-02	FASN,SCD	 
ACLY	enzyme	1.20E-02	FASN,SCD	 
MYH10	enzyme	1.20E-02	LOR,TGM1	 
farnesyl transferase	complex	1.20E-02	CRYAB,HBEGF	 
DIABLO	other	1.20E-02	BIRC3,CFLAR	 
ULBP1	transmembrane receptor	1.20E-02	CD83,TNFRSF9	 
niflumic acid	chemical drug	1.20E-02	CFLAR,FAS	 
butylhydroxybutylnitrosamine	chemical toxicant	1.20E-02	AREG,HBEGF	 
itraconazole	chemical drug	1.20E-02	GLI1,LGR5	 
mechlorethamine	chemical drug	1.20E-02	ATF3,IL1B	 
SC-58125	chemical drug	1.20E-02	FAS,GDF15	 
huperzine A	chemical drug	1.20E-02	ACHE,IL1B	 
norgestrel	chemical drug	1.20E-02	KLK5,MUC1	 
testosterone	chemical - endogenous mammalian	1.21E-02	ANKRD1,CTSV,DDIT4,DFFB,FAS,FOSB,GPC1,HSPA1A/HSPA1B,ID3,IL1B,SLC38A5,TGM4,TUBB2A,TUBB3,UGT8	 
Histone h3	group	1.22E-02	AKAP12,CEACAM1,CFLAR,CSPG4,EFNA1,EOMES,FASN,GLI1,IFI6,IL1B,LOR,MGLL,OPN1SW,OSGIN1,PROS1,RASSF1,SCD,SREBF1	 
CREBBP	transcription regulator	1.22E-02	AKAP12,CAPG,DUSP4,EOMES,FOSB,GLI1,GNG2,HLA-B,HMGCS1,IL7R,LOR,NR4A3,RTP4,SLC7A11,SREBF1,TNFAIP1	 
CD3	complex	1.23E-02	ARHGDIB,BIRC3,CD274,CD83,CEACAM1,CFLAR,EBI3,EDIL3,EOMES,FAS,GLI1,HSPA1A/HSPA1B,ID3,ID4,IFI35,IL15RA,IL1B,IL21R,IL7R,RELB,SMPDL3B,TNFRSF9,VIPR2	 
AHR	ligand-dependent nuclear receptor	1.23E-02	AREG,CAMK2N1,CHST2,COL16A1,EMILIN2,FAS,FBLN5,HDAC9,IL1B,LYST,RDH16,SAA1,SCD,SREBF1,TIMP3	 
raloxifene	chemical drug	1.24E-02	AREG,CCN5,DDIT4,DUSP4,HSPA1A/HSPA1B,MPPED2,MUC1,TIMP3,ZFX	 
F2RL1	G-protein coupled receptor	1.25E-02	AREG,CCN2,FAS,HBEGF,IL1B	 
KMT2D	transcription regulator	1.25E-02	ADGRG2,CSPG4,EBI3,FHL1,KRT23,LOR,PPIC,TGM1,VTN,WDR17	 
calcimycin	chemical reagent	1.26E-02	ATF3,CD83,DDIT4,DNAJC12,FOSB,ID3,MYH2	 
Z-LLL-CHO	chemical - protease inhibitor	1.27E-02	AKR1C1/AKR1C2,ARHGDIB,ATF3,BIRC3,CACNA1A,CCN2,CFLAR,CRYAB,DMD,FAS,FASN,HSPB2,IL1B,NCF2	 
HOXC6	transcription regulator	1.27E-02	APBB1,BCO2,CASP1,SLC44A1	 
SAHM1	chemical reagent	1.27E-02	DDIT4,ELMO1,RHOBTB1,RHOU	 
SEMA7A	transmembrane receptor	1.29E-02	CCN2,CCN5,CTSS	 
resolvin D2	chemical - endogenous mammalian	1.29E-02	IL1B,ITGB2,LY96	 
KIF3A	enzyme	1.29E-02	GLI1,HMGCS1,IHH	 
CYP7A1	enzyme	1.29E-02	FASN,IL1B,SREBF1	 
fibric acid derivative	chemical drug	1.29E-02	FADS2,FASN,SCD	 
FOXL2	transcription regulator	1.33E-02	ATF3,FAS,GPRC5B,MAFF,NR4A3	 
NEUROG1	transcription regulator	1.33E-02	C1S,LGR5,PPIC,SQOR,TRIM22	 
BCL2L1	other	1.33E-02	CFLAR,ECM1,FAS,IL1B,TUBB3	 
OTX2	transcription regulator	1.33E-02	FLVCR2,OPN1SW,PMEL,SOX2,STRA6	 
docosahexaenoic acid	chemical drug	1.33E-02	CCN2,CD83,FADS2,FAS,FASN,IL1B,SAA1,SCD,SREBF1	 
ZFHX3	transcription regulator	1.35E-02	GBX1,ID3,LRRC17,MYH2,TUBB3,VIPR2	 
JAK	group	1.37E-02	CD83,FBXO32,IFI6,IFIT3	 
ACKR2	G-protein coupled receptor	1.37E-02	IFIT3,IL1B,ISG20,OAS1	 
ACVR1	kinase	1.37E-02	EDIL3,FSTL1,HHIP,PROS1	 
GABPA	transcription regulator	1.37E-02	ACHE,FAS,IL7R,ITGB2	 
ARHGAP21	other	1.37E-02	CITED2,IFIT3,IL15RA,ISG20	 
retinoid	chemical drug	1.37E-02	CEACAM1,HBEGF,LOR,UBD	 
beta-carotene	chemical - endogenous mammalian	1.37E-02	HSPA1A/HSPA1B,IL1B,MID1IP1,SLC16A12	 
4-hydroxynonenal	chemical toxicant	1.37E-02	AKR1C1/AKR1C2,CCN2,HSPA1A/HSPA1B,IL1B	 
DDIT3	transcription regulator	1.38E-02	ANKRD1,ATF3,CAMK2N1,CCDC80,CFLAR,IL1B,SOX2	 
WT1	transcription regulator	1.38E-02	AREG,CCN2,CIRBP,CSPG4,CTSV,EFNA1,FGF1,FOSB,HBEGF,IL1B,TIMP3	 
caffeine	chemical drug	1.41E-02	CCN2,FASN,FOSB,MICB,SREBF1	 
DNMT1	enzyme	1.42E-02	MAZ,OTOP1,PLEKHA6,RASSF1,SLC7A11,TIMP3	 
SAMSN1	other	1.42E-02	CITED2,DAB2,HBEGF,IFIT3,IL15RA,ISG20	 
POU2F2	transcription regulator	1.42E-02	CFLAR,DHRS9,FJX1,MVK,SCD,TNFAIP2	 
6-hydroxydopamine	chemical toxicant	1.42E-02	CEACAM1,DDIT4,FOSB,GNAL,HSPA1A/HSPA1B,IL1B	 
oleic acid	chemical - endogenous mammalian	1.44E-02	ANGPTL4,FASN,GDF15,IL1B,OLR1,SCD,SREBF1	 
IL10	cytokine	1.45E-02	CD274,CD83,CEACAM1,CFLAR,CTSS,FAS,GPRC5B,HDAC9,IL1B,IL1RN,IL7R,LAMP3,MUC1,NR4A3,PDCD1LG2	 
risperidone	chemical drug	1.45E-02	FADS2,NR4A3,SLC18A3	 
carvedilol	chemical drug	1.45E-02	FASN,IL1B,SREBF1	 
MYD88	other	1.47E-02	CD274,CD83,CFLAR,EBI3,FBXO32,GDF15,IL1B,IL1RN,MAFF,OLR1,RELB,SAA1	 
NR4A1	ligand-dependent nuclear receptor	1.47E-02	AKR1C1/AKR1C2,ATF3,COL16A1,FASN,FBP1,GPD1,IL1B,NR4A3,PHKB,SCD,SREBF1,TNFRSF9	 
gefitinib	chemical drug	1.47E-02	AREG,CD274,CFLAR,DUSP4,EFNA1,GLI1,ID4,MAFF,TIMP3	 
IFNLR1	transmembrane receptor	1.49E-02	ATF3,IFIT3,IL1B,TNFAIP2	 
HNRNPA2B1	other	1.49E-02	ADGRG2,CLDN1,CTSV,FHL1,GDF15,GPRC5B,KRT4,OAS1	 
miR-29b-3p (and other miRNAs w/seed AGCACCA)	mature microRNA	1.50E-02	ANGPTL4,HDAC4,INSIG1,PPIC,TUBB2A	 
1,4-bis[2-(3,5-dichloropyridyloxy)]benzene	chemical toxicant	1.50E-02	FASN,INSIG1,MAFF,PAPSS2,SCD,SREBF1,TNFAIP2	 
triciribine	chemical drug	1.52E-02	ANGPTL4,ATF3	 
bazedoxifene	chemical drug	1.52E-02	AREG,CCN5	 
C8	complex	1.52E-02	CFLAR,IL1B	 
bacterial lipopolysaccharides	chemical - other	1.52E-02	CYP2J2,IL1B	 
SAV1	other	1.52E-02	CCN2,GPC3	 
TRG	other	1.52E-02	AREG,IL1B	 
Ccl6	cytokine	1.52E-02	CTSS,CTSV	 
GUSB	enzyme	1.52E-02	APBB1,CTSV	 
STK25	kinase	1.52E-02	FASN,FBP1	 
Mup1 (includes others)	other	1.52E-02	FASN,SCD	 
COCH	other	1.52E-02	IL1B,SOX2	 
AIM2	other	1.52E-02	CASP1,IL1B	 
CD99	other	1.52E-02	FOSB,TUBB3	 
C7	other	1.52E-02	CFLAR,IL1B	 
UCHL3	peptidase	1.52E-02	FASN,SREBF1	 
1,1-bis(3'-indolyl)-1-(4-trifluoromethyl-phenyl)methane	chemical reagent	1.52E-02	ATF3,GDF15	 
thymidine	chemical - endogenous mammalian	1.52E-02	BCYRN1,FAS	 
IL12 (complex)	complex	1.55E-02	CASP1,CEACAM1,EBI3,EOMES,FAS,IL1B,IL7R,ISG20,ITGB2,TNFRSF9	 
phytohemagglutinin	chemical drug	1.57E-02	CD83,CRABP1,FAS,GPD1,IL15RA,IL1B,IL21R,IL7R,INPP1,KRT13,PLP1,TIMP3,ZFX	 
mir-15	microRNA	1.59E-02	FGF1,HSPA1A/HSPA1B,IL1B,OAS1,TFAP4	 
SMAD4	transcription regulator	1.59E-02	ANGPTL4,AREG,CCN2,CITED2,FSTL3,GLI1,IHH,IL1B,RASSF1,SCD,TIMP3	 
Tnf (family)	group	1.60E-02	ATF3,BIRC3,CFLAR,CIRBP,FBXO32,IL1B,SAA1,TNFRSF9	 
POU5F1	transcription regulator	1.60E-02	BIRC3,CASP1,CASP10,DUSP4,DUSP5,EOMES,FAS,GBP3,ID3,LOR,SOX2,TGM1,TNFRSF9,USP44	 
RBM5	other	1.60E-02	BIRC3,CASP10,FAF1,INSIG1	 
GPX1	enzyme	1.60E-02	CCN2,DUSP4,FAF1,FAS	 
quinolinic acid	chemical - endogenous mammalian	1.60E-02	FOSB,HSPA1A/HSPA1B,NRTN,NTF3	 
acetovanillone	chemical drug	1.60E-02	NCF2,OLR1,OSGIN1,RYR3	 
Ro31-8220	chemical - kinase inhibitor	1.60E-02	CLDN1,DUSP4,FSTL3,IL1B	 
ERBB2	kinase	1.62E-02	ANGPTL4,AREG,BIRC3,CCDC80,CCN2,CCN5,CGB3 (includes others),CHST2,CYP2J2,DAAM1,EMP1,FASN,FSTL1,FSTL3,GPC1,HBEGF,HEYL,HSPA1A/HSPA1B,IL1B,MUC1,PHLDA2,SQOR,TFAP2C,TGM1,THSD1,TIMP3	 
NCOR-LXR-Oxysterol-RXR-9 cis RA	complex	1.63E-02	FASN,SCD,SREBF1	 
Smad	complex	1.63E-02	ANGPTL4,CCN2,ID3	 
BCL2L11	other	1.63E-02	CD274,HDAC9,IL1B	 
KN-62	chemical - kinase inhibitor	1.63E-02	ATF3,IL1B,MYH2	 
alpha-tocopherol	chemical drug	1.63E-02	CCN2,HSPA1A/HSPA1B,IL1B	 
salmonella minnesota R595 lipopolysaccharides	chemical - endogenous non-mammalian	1.63E-02	CD83,CFLAR,FOSB,GDF15,IL1B,MAFF,RELB	 
AMPK	complex	1.63E-02	CLDN1,DUSP4,FASN,FBXO32,IL1RN,KCNB1,SREBF1	 
PDLIM2	other	1.64E-02	CITED2,FBP1,FSTL1,GNG2,HBEGF,IFIT3	 
FOXO4	transcription regulator	1.64E-02	CCN2,ERG,FASN,HMGCS1,ITGB2,SCD	 
EHF	transcription regulator	1.64E-02	ANGPTL4,IL1RN,KLK5,MUC1,SAA1,SCEL	 
okadaic acid	chemical toxicant	1.64E-02	CCN2,FOSB,IL1B,IL1RN,IL21R,SAA1	 
triamcinolone acetonide	chemical drug	1.65E-02	ANGPTL4,ATF3,CAPG,ERG,INSIG1,KCNB1,SAA1,SCD,ST3GAL5,UGT8	 
BRCA1	transcription regulator	1.68E-02	AREG,DDIT4,FAS,GDF15,IFI6,IFIT3,SFPQ,TNFAIP2,TP53I3	 
DOCK8	other	1.68E-02	CITED2,DAB2,IFIT3,IL15RA,ISG20	 
MAVS	other	1.68E-02	IFIT3,IL1B,ISG20,OAS1,SOX2	 
FASN	enzyme	1.68E-02	DDIT4,FASN,FGF1,IL1B,SCD	 
COLQ	other	1.68E-02	ACHE,DMD,ECM1,FBLN5,GPC1	 
lipoteichoic acid	chemical - endogenous non-mammalian	1.68E-02	CD83,EBI3,IL1B,IL1RN,NR4A3	 
ERK1/2	group	1.69E-02	AKR1B10,AKR1C3,AREG,BIRC3,CCN2,CFLAR,CTSV,DUSP4,FOSB,HBEGF,ID3,IL1B,NR4A3	 
PTGER4	G-protein coupled receptor	1.72E-02	CITED2,IFI35,IL1B,ISG20,MAFF,NCF2,OLR1,RTP4	 
IL12A	cytokine	1.73E-02	CFLAR,EBI3,FAS,IL1B	 
mir-34	microRNA	1.78E-02	BIRC3,EMP1,GFRA3,LYST,TUBB3	 
26s Proteasome	complex	1.78E-02	BIRC3,CFLAR,HBEGF,IFI35,MICB,SOX2,UBD,ULBP2	 
PLK2	kinase	1.81E-02	CITED2,IL15RA,IL1B	 
diethylstilbestrol	chemical drug	1.81E-02	AREG,ARHGDIB,CCN2,CD83,CITED2,CPE,EMP1,FAS,HBEGF,HTRA3,KRT13,NR4A3,TGM4	 
TNFAIP3	enzyme	1.86E-02	BIRC3,CFLAR,FAS,IL1B	 
OLR1	transmembrane receptor	1.86E-02	NCF2,OLR1,RXRG,STRA6	 
O6-benzylguanine	chemical drug	1.88E-02	CFLAR,FAS	 
RNASEH2B	enzyme	1.88E-02	IFIT3,OAS1	 
TRPM8	ion channel	1.88E-02	CIRBP,HSPA1A/HSPA1B	 
ITGA4	transmembrane receptor	1.88E-02	IL1B,IL1RN	 
FRMD6	other	1.88E-02	CCN2,FGF1	 
LUM	other	1.88E-02	FAS,IL1B	 
IGBP1	phosphatase	1.88E-02	CASP1,CLDN1	 
USP19	peptidase	1.88E-02	BIRC3,FBXO32	 
DHH	peptidase	1.88E-02	GLI1,HHIP	 
COP1	enzyme	1.88E-02	FAS,SREBF1	 
PRKCH	kinase	1.88E-02	LOR,TGM1	 
premarin	chemical drug	1.88E-02	AREG,CCN5	 
lapatinib	chemical drug	1.88E-02	AREG,HBEGF	 
(5-(4-N-methyl-N(2-pyridyl)amino)ethoxy)benzyl thiazolidine-2,4-dione	chemical reagent	1.88E-02	CTSS,SCD	 
tridecanoic acid	chemical - endogenous mammalian	1.88E-02	DUSP5,MXD1	 
dydrogesterone	chemical drug	1.88E-02	AKR1C1/AKR1C2,AKR1C3	 
troglitazone	chemical drug	1.88E-02	ANGPTL4,ATF3,BIRC3,CFLAR,CRYAB,FADS2,FASN,GDF15,GPD1,IL1B,KRT13,MUC1,NR4A3,PADI2,SCD	 
GLI3	transcription regulator	1.88E-02	DUSP5,EMX1,FOSB,GLI1,HHIP	 
BMP6	growth factor	1.89E-02	ARHGAP18,CCN2,HBEGF,ID3,SCEL,TEF	 
butyric acid	chemical - endogenous mammalian	1.91E-02	ACHE,CD83,CFLAR,CLDN1,FASN,FSTL1,HDAC9,IFIT3,IL1B,KRT13,MUC1,MXD1,SREBF1,TGM1,TIMP3,TNFAIP2,TP53I3	 
15-deoxy-delta-12,14 -PGJ 2	chemical - endogenous mammalian	1.91E-02	BIRC3,CCN2,CFLAR,GDF15,HTRA3,IL1B,MUC1,MXD1,SREBF1	 
tetrachlorodibenzodioxin	chemical toxicant	1.92E-02	ACHE,CAMK2N1,CHST2,CTSV,FAS,HDAC4,HDAC9,HSPA1A/HSPA1B,IL1B,KRT4,LYST,RDH16,SAA1,SLC9A4,TGM1	 
IL17A	cytokine	1.92E-02	AREG,CCN2,CD274,CD83,EDIL3,FAS,HBEGF,IL1B,IL1RN,RNASE7,SREBF1	 
Ins1	other	1.95E-02	ANGPTL4,CNN1,CRYAB,FADS2,FASN,GPD1,HMGCS1,IL1B,NTF3,SCD,SREBF1,TIMP3,UGT8	 
Jnk	group	1.97E-02	BIRC3,CCN2,CD83,CFLAR,FAS,FBXO32,FOSB,GDF15,IL1B,STRA6	 
Ifn gamma	complex	1.97E-02	CASP1,FAS,IL1B,LY96,NR4A3,TNFRSF9	 
thioacetamide	chemical toxicant	1.98E-02	AKAP12,AKR1C3,BIRC3,CCN2,EMP1,FBLN5,FSTL1,GPD1,IL1B,SLC7A11,SOX2	 
INS	other	1.98E-02	CCN2,CITED2,FAS,FASN,FOSB,RDH16,SCD,SREBF1	 
linoleic acid	chemical - endogenous mammalian	1.99E-02	ANGPTL4,FASN,IL1B,OLR1,SCD	 
FGF7	growth factor	1.99E-02	FASN,FGF1,SCD,SPRY2,SREBF1	 
KLF15	transcription regulator	1.99E-02	CCN2,FASN,GPR1,SCD	 
JAK3	kinase	1.99E-02	CD274,GLI1,IL7R,TUBB3	 
p70 S6k	group	2.00E-02	FASN,SCD,SREBF1	 
CTSS	peptidase	2.00E-02	CTSV,FAS,IL1B	 
CRYAB	other	2.00E-02	CRYAB,FBXO32,HSPB2	 
PLK4	kinase	2.00E-02	CITED2,IL15RA,IL1B	 
rimonabant	chemical drug	2.00E-02	IL1B,IL1RN,SREBF1	 
SL 327	chemical - protease inhibitor	2.00E-02	FOSB,HECW1,NOCT	 
WR 1065	chemical drug	2.00E-02	FAS,GDF15,RAD23A	 
ceramide	chemical - endogenous mammalian	2.00E-02	CASP1,CFLAR,IL1B	 
SRF	transcription regulator	2.01E-02	ABCA4,AKAP12,ANKRD1,CCN2,CLDN1,CNN1,DMD,DUSP5,FGF1,FHL1,FOSB,HOTAIR,MPPED2,MYH2	 
LDLR	transporter	2.02E-02	CD274,DHRS9,EBI3,FADS2,FASN,IL1B,IL1RN,MID1IP1,SCD,SREBF1	 
SOX4	transcription regulator	2.03E-02	APBB1,CASP1,DUSP4,EMP1,EOMES,FHL1,PPIC,PRXL2A,THSD1	 
LEP	growth factor	2.06E-02	AKR1C1/AKR1C2,ANGPTL4,CASP10,CTSV,DFFB,FADS2,FAS,FASN,IFT88,IL1B,IL1RN,KCNB1,NCF2,PLP1,SCD,SREBF1,TIMP3	 
PLA2G10	enzyme	2.06E-02	FAS,IL1B,KRT13,KRTAP2-3/KRTAP2-4,KRTAP3-1,NABP1	 
clofibrate	chemical drug	2.06E-02	CEACAM1,FAS,IL1RN,SCD,SLCO2A1,SREBF1	 
RETN	other	2.13E-02	CCN2,FASN,SCD,SREBF1	 
TET2	enzyme	2.15E-02	IFIT3,IL1B,ITGB2,MAFF,MTSS1,SLC16A12,TGM1	 
medroxyprogesterone acetate	chemical drug	2.15E-02	CLDN1,FAS,FASN,HTRA3,IL1B,ITGB2,SCD	 
TNFSF10	cytokine	2.16E-02	BIRC3,CFLAR,IFI6,IL1B,IL1RN,TNFAIP2	 
acetoacetyl-coenzyme A	chemical - endogenous mammalian	2.16E-02	IL1B	 
xylose	chemical reagent	2.16E-02	SREBF1	 
flavokawain C	chemical - endogenous non-mammalian	2.16E-02	CFLAR	 
GPSM3	other	2.16E-02	IL1B	 
DPTA-NONOate	chemical reagent	2.16E-02	CFLAR	 
glutathione peroxidase	group	2.16E-02	CFLAR	 
IRAK1/4	group	2.16E-02	IL1B	 
budesonide/formoterol	chemical drug	2.16E-02	CD274	 
WTIP	transcription regulator	2.16E-02	AREG	 
Il1bos	other	2.16E-02	IL1B	 
MCAT	enzyme	2.16E-02	LY96	 
PRDM4	transcription regulator	2.16E-02	ITGB2	 
PELI3	enzyme	2.16E-02	IL1B	 
CMPK2	kinase	2.16E-02	IL1B	 
p300-CBP	complex	2.16E-02	HOTAIR	 
DAGLA	enzyme	2.16E-02	IL1B	 
TMPRSS2	peptidase	2.16E-02	ERG	 
PPP1R3G	other	2.16E-02	SREBF1	 
canakinumab	biologic drug	2.16E-02	IL1B	 
RNF138	enzyme	2.16E-02	CACNA1A	 
RIC8B	other	2.16E-02	GNAL	 
CCDC22	other	2.16E-02	BIRC3	 
PHF20L1	other	2.16E-02	SOX2	 
CMTM4	cytokine	2.16E-02	CD274	 
CLIC1	ion channel	2.16E-02	IL1B	 
OSBP	transporter	2.16E-02	SREBF1	 
CMTM6	cytokine	2.16E-02	CD274	 
DHODH	enzyme	2.16E-02	CFLAR	 
FAS-AS1	other	2.16E-02	FAS	 
cabozantinib	chemical drug	2.16E-02	CD274	 
mapatumumab	biologic drug	2.16E-02	CFLAR	 
NNZ 2566	biologic drug	2.16E-02	ATF3	 
PF-4523655	biologic drug	2.16E-02	DDIT4	 
ANTXR1	transmembrane receptor	2.16E-02	HSPA1A/HSPA1B	 
CHKA	kinase	2.16E-02	TUBB3	 
TUNAR	other	2.16E-02	SOX2	 
PRL-3 inhibitor I	chemical reagent	2.16E-02	ULBP2	 
