Categories	Diseases or Functions Annotation	p-value	Molecules	# Molecules
"Cancer,Organismal Injury and Abnormalities"	Head and neck tumor	1.14E-02	"ABCA4,ABCA8,ACE2,ADAMTS14,ANKRD1,ARHGDIG,ART5,ASB2,ATP13A4,ATP6V0A4,AZGP1,BIRC3,C11orf96,C1QTNF2,CACNA1A,CRABP1,CRTAC1,CYP2J2,DAAM1,DAB2,DAPP1,DHRS2,DNAJC12,DYDC2,EBI3,EMILIN2,ERG,FAM133A,FBLN5,FBP1,FLG2,GBX1,GFRA3,GGTLC2,GPD1,GRPR,HOXD1,HSD17B6,IHH,IL21R,IL31RA,ISM2,ITGB2,IZUMO4,JPH2,KCNB1,KCNG3,KLHL6,KRT23,KRT83,KRTAP2-3/KRTAP2-4,KRTAP3-1,LCE1E,LCE1F,LIPH,LOR,MAB21L4,MAP6,MOBP,MUC1,MYH2,NR4A3,OPN1SW,OTOP1,PDCD1LG2,PLP1,RAET1G,RAET1L,RASGRP3,RASL10A,RDH16,RFTN1,RFX8,RYR3,SCEL,SCIN,SH2D1B,SLCO5A1,SMPDL3B,SPINK2,STX11,SYT17,SYTL2,TEX14,TEX15,TGM4,TMPRSS7,TNFAIP8L3,TNFRSF9,TP53I3,TSPAN11,UBE2QL1,ULBP2,VIPR2,VTN,VWA5B1,WSCD2,ZMYND15"	98
"Cancer,Organismal Injury and Abnormalities,Reproductive System Disease"	Breast or gynecological cancer	1.19E-02	"ABCA4,ABCA8,ACE2,ADAMTS14,ART5,ATP6V0A4,AZGP1,CACNA1A,CRABP1,CRTAC1,CTSS,DAB2,DDIT4,DYDC1,EMILIN2,ERG,FBLN5,FLG2,FOSB,GRPR,HHLA2,HSD17B6,IL21R,IL31RA,JPH2,KCNB1,KCNK9,KLHL6,KRT23,LRRC15,MAP6,MUC1,MYH2,NMNAT2,NR4A3,OTOP1,PDCD1LG2,PLP1,RAET1G,RAET1L,RASGRP3,RYR3,SAA1,SIRPB2,SLC18A3,SMPDL3B,SPINK2,STOML3,SYT17,SYTL2,TEX14,TEX15,TGM1,TGM4,TNFAIP8L3,TNFRSF9,TSPAN11,UBE2QL1,VSIG1,VTN,VWA5B1,WSCD2"	62
"Metabolic Disease,Organismal Injury and Abnormalities"	Glucose metabolism disorder	1.21E-02	"ACE2,ARHGDIG,ASB2,AZGP1,CA13,CACNA1A,CTSS,FBP1,GPD1,GPR1,HCP5,IL21R,ITGB2,MOBP,NR4A3,OLR1,OPN1SW,PDCD1LG2,RDH16,RTP4,RYR3,SH2D1B,TNFRSF9"	23
Cell Death and Survival	Apoptosis of septal cells	1.21E-02	DDIT4	1
"Cell Death and Survival,Cellular Development,Cellular Function and Maintenance"	Self-renewal of leukemia cell lines	1.21E-02	MUC1	1
"Cellular Movement,Embryonic Development"	Migration of embryonic stem cell lines	1.21E-02	RASGRP3	1
"Dermatological Diseases and Conditions,Hair and Skin Development and Function,Organ Morphology,Organismal Injury and Abnormalities"	Abnormal morphology of wavy vibrissae	1.21E-02	LIPH	1
"Cardiovascular Disease,Organismal Injury and Abnormalities"	Formation of embolus	1.21E-02	VTN	1
"Cellular Assembly and Organization,Cellular Development"	Differentiation of cell membrane leading edge	1.21E-02	DAB2	1
"Cardiovascular System Development and Function,Organismal Development,Tissue Morphology"	Vasodilation of afferent arteriole	1.21E-02	CYP2J2	1
"Cancer,Cellular Development,Organismal Injury and Abnormalities,Tumor Morphology"	Transdifferentiation of malignant tumor	1.21E-02	MUC1	1
"Cellular Assembly and Organization,Nervous System Development and Function"	Stabilization of myelin sheath	1.21E-02	PLP1	1
"Developmental Disorder,Endocrine System Disorders,Hereditary Disorder,Organismal Injury and Abnormalities,Reproductive System Disease"	Spermatogenic failure 1	1.21E-02	TEX15	1
"Cell-To-Cell Signaling and Interaction,Hematological System Development and Function"	Signaling of peripheral T lymphocyte	1.21E-02	ITGB2	1
"Cellular Assembly and Organization,Post-Translational Modification,Protein Degradation,Protein Synthesis"	Cleavage of actin	1.21E-02	SCIN	1
"Carbohydrate Metabolism,Drug Metabolism,Small Molecule Biochemistry"	Activation of heparin	1.21E-02	VTN	1
"DNA Replication, Recombination, and Repair,Nucleic Acid Metabolism,Small Molecule Biochemistry"	Hydrolysis of UTP	1.21E-02	ABCA4	1
"Cell Morphology,Hematological System Development and Function,Inflammatory Response"	Elongation of macrophages	1.21E-02	VTN	1
Cell Death and Survival	Killing of Staphylococcus aureus subsp. aureus str. Newman	1.21E-02	CTSS	1
"Lipid Metabolism,Small Molecule Biochemistry"	Conversion of diacylglycerol	1.21E-02	LIPH	1
"DNA Replication, Recombination, and Repair,Nucleic Acid Metabolism,Small Molecule Biochemistry"	Hydrolysis of CTP	1.21E-02	ABCA4	1
Cell Cycle	Arrest in Gap 0-Gap 1 phase of prostate cancer cell lines	1.21E-02	ERG	1
"Organismal Development,Skeletal and Muscular System Development and Function"	Thickness of footpad	1.21E-02	LOR	1
"Cell-mediated Immune Response,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking"	Immobilization of T lymphocytes	1.21E-02	ITGB2	1
"Digestive System Development and Function,Organ Morphology,Organismal Development"	Mass of colon	1.21E-02	TNFRSF9	1
"Cellular Assembly and Organization,Embryonic Development,Hair and Skin Development and Function,Organ Development,Organismal Development,Tissue Development"	Formation of cross-linked envelopes	1.21E-02	TGM1	1
"Embryonic Development,Nervous System Development and Function,Organ Development,Organismal Development,Tissue Development"	Development of vestibular nucleus	1.21E-02	CACNA1A	1
"Connective Tissue Disorders,Dermatological Diseases and Conditions,Developmental Disorder,Hereditary Disorder,Metabolic Disease,Organismal Injury and Abnormalities"	Autosomal dominant cutis laxa type 1	1.21E-02	FBLN5	1
"Energy Production,Lipid Metabolism,Small Molecule Biochemistry,Vitamin and Mineral Metabolism"	Oxidation of 13-cis-retinol	1.21E-02	RDH16	1
"Cell-To-Cell Signaling and Interaction,Nervous System Development and Function"	Activation of Purkinje cells	1.21E-02	CACNA1A	1
"Cellular Development,Connective Tissue Development and Function,Skeletal and Muscular System Development and Function,Tissue Development"	Onset of differentiation of chondrocytes	1.21E-02	IHH	1
"Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities"	Spinocerebellar ataxia type 6	1.21E-02	CACNA1A	1
Neurological Disease	Head tremor	1.21E-02	PLP1	1
"Cell Morphology,Cellular Compromise"	Multinucleation of colorectal cancer cell lines	1.21E-02	UBD	1
"Cellular Growth and Proliferation,Skeletal and Muscular System Development and Function"	Inhibition of smooth muscle cells	1.21E-02	FBLN5	1
"Cancer,Endocrine System Disorders,Gastrointestinal Disease,Organismal Injury and Abnormalities"	Angiogenesis of pancreatic endocrine tumor	1.21E-02	CTSS	1
"Developmental Disorder,Hereditary Disorder,Ophthalmic Disease,Organismal Injury and Abnormalities"	Autosomal recessive childhood-onset severe retinal dystrophy	1.21E-02	ABCA4	1
"Hair and Skin Development and Function,Organ Morphology"	Yellowness of fur	1.21E-02	ACE2	1
"Gastrointestinal Disease,Hematological Disease,Hepatic System Disease,Organismal Injury and Abnormalities,Respiratory Disease"	Hypoxia of liver	1.21E-02	ITGB2	1
"Cell Morphology,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response"	Cell spreading of bone marrow-derived dendritic cells	1.21E-02	ASB2	1
"Cellular Assembly and Organization,Cellular Compromise"	Disruption of microtubule cytoskeleton	1.21E-02	ERG	1
"Connective Tissue Disorders,Developmental Disorder,Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders"	Mandibulofacial dysostosis with mental deficiency	1.21E-02	ABCA4	1
"Embryonic Development,Tissue Morphology"	Remodeling of yolk sac	1.21E-02	IHH	1
"Cell-To-Cell Signaling and Interaction,Nervous System Development and Function"	Action potential of spinal neuron	1.21E-02	GRPR	1
"Connective Tissue Disorders,Dermatological Diseases and Conditions,Developmental Disorder,Hereditary Disorder,Metabolic Disease,Organismal Injury and Abnormalities"	Autosomal recessive cutis laxa type 1A	1.21E-02	FBLN5	1
"Dermatological Diseases and Conditions,Immunological Disease,Organismal Injury and Abnormalities"	Anaphylaxis of skin	1.21E-02	VIPR2	1
"Developmental Disorder,Hereditary Disorder,Ophthalmic Disease,Organismal Injury and Abnormalities"	Fundus flavimaculatus	1.21E-02	ABCA4	1
"Energy Production,Lipid Metabolism,Small Molecule Biochemistry,Vitamin and Mineral Metabolism"	Oxidation of vitamin A	1.21E-02	RDH16	1
"Cell Signaling,Molecular Transport,Nucleic Acid Metabolism,Small Molecule Biochemistry"	Guanine nucleotide exchange of guanosine 5'-O-(3-thiotriphosphate)	1.21E-02	GRPR	1
"Cardiovascular System Development and Function,Tissue Morphology"	Opening of carotid artery	1.21E-02	VTN	1
"Cell-mediated Immune Response,Hematopoiesis,Lymphoid Tissue Structure and Development"	Frequency of pro T4 thymocytes	1.21E-02	RASGRP3	1
Cardiovascular System Development and Function	Preservation of elastic lamina	1.21E-02	CTSS	1
"Cardiovascular Disease,Hematological Disease,Organismal Injury and Abnormalities"	Instability of thrombus	1.21E-02	VTN	1
"Cancer,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities"	Hyperplasia of Th2 cells	1.21E-02	PLP1	1
"Energy Production,Lipid Metabolism,Small Molecule Biochemistry,Vitamin and Mineral Metabolism"	Oxidation of 9-cis-retinol	1.21E-02	RDH16	1
"Cellular Development,Cellular Growth and Proliferation,Embryonic Development,Hematological System Development and Function,Hematopoiesis,Humoral Immune Response,Lymphoid Tissue Structure and Development,Organ Development,Organismal Development,Tissue Development"	Formation of plasmablasts	1.21E-02	IL21R	1
"Cellular Assembly and Organization,Post-Translational Modification"	Bending of actin	1.21E-02	SCIN	1
"Cellular Movement,Hematological System Development and Function,Hypersensitivity Response,Immune Cell Trafficking"	Influx of eosinophils	1.21E-02	LY96	1
Cardiovascular System Development and Function	Extensibility of carotid artery	1.21E-02	FBLN5	1
"Cardiovascular Disease,Developmental Disorder,Organismal Injury and Abnormalities,Respiratory Disease"	Total anomalous pulmonary venous return	1.21E-02	ANKRD1	1
"Immunological Disease,Inflammatory Disease,Inflammatory Response,Neurological Disease,Organismal Injury and Abnormalities"	Initiation of experimental autoimmune encephalomyelitis	1.21E-02	PLP1	1
"Cancer,Cellular Growth and Proliferation,Organismal Functions,Organismal Injury and Abnormalities,Tumor Morphology"	Inhibition of non-small-cell lung cancer cells	1.21E-02	DDIT4	1
"Cancer,Cellular Growth and Proliferation,Organismal Injury and Abnormalities,Tumor Morphology"	Cytostasis of myeloid leukemia cells	1.21E-02	ASB2	1
"Connective Tissue Disorders,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders"	Invasion of growth plate	1.21E-02	IHH	1
"Cell-To-Cell Signaling and Interaction,Inflammatory Response"	Immune response of monocyte-derived dendritic cells	1.21E-02	MUC1	1
Post-Translational Modification	Carbonyl modification of protein	1.21E-02	ABCA4	1
"Cellular Compromise,Cellular Function and Maintenance,Organismal Injury and Abnormalities"	Endoplasmic reticulum stress response of retinal cone cells	1.21E-02	OPN1SW	1
"Cardiovascular System Development and Function,Cell-To-Cell Signaling and Interaction"	Attachment of HCAEC cells	1.21E-02	ITGB2	1
"Cell Morphology,Hematological System Development and Function,Inflammatory Response,Nervous System Development and Function"	Area of microglia	1.21E-02	PLP1	1
"Cell Death and Survival,Dermatological Diseases and Conditions,Organismal Injury and Abnormalities"	Necrosis of epidermis	1.21E-02	ANKRD1	1
"Drug Metabolism,Protein Synthesis"	Metabolism of cyclosporin A	1.21E-02	CYP2J2	1
"Cell-mediated Immune Response,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking"	Arrest in cell rolling of memory T lymphocytes	1.21E-02	ITGB2	1
"Cell Death and Survival,Organismal Injury and Abnormalities"	Apoptosis of HCAEC cells	1.21E-02	OLR1	1
"Dermatological Diseases and Conditions,Hereditary Disorder,Organismal Injury and Abnormalities"	Hypotrichosis type 7	1.21E-02	LIPH	1
"Cell Morphology,Cell-To-Cell Signaling and Interaction,Cellular Assembly and Organization,Cellular Development,Cellular Function and Maintenance,Cellular Growth and Proliferation,Nervous System Development and Function,Skeletal and Muscular System Development and Function,Tissue Development,Tissue Morphology"	Size of motor endplates	1.21E-02	SLC18A3	1
"Lipid Metabolism,Molecular Transport,Small Molecule Biochemistry"	Sequestration of cholesterol	1.21E-02	PLP1	1
"Lipid Metabolism,Molecular Transport,Small Molecule Biochemistry"	Quantity of prostaglandin G2	1.21E-02	ABCA4	1
"Cancer,Cellular Development,Organismal Injury and Abnormalities,Tumor Morphology"	Differentiation of chronic myelogenous leukemia cells	1.21E-02	MUC1	1
Cellular Development	Delay in initiation of differentiation of leukemia cell lines	1.21E-02	ASB2	1
Skeletal and Muscular Disorders	Abnormality of foot	1.24E-02	"ITGB2,KRT83,VIPR2"	3
"Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Lymphoid Tissue Structure and Development"	Proliferation of activated T lymphocytes	1.24E-02	"HHLA2,ITGB2,PDCD1LG2"	3
"Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Lymphoid Tissue Structure and Development"	Clonal expansion of T lymphocytes	1.25E-02	"PLP1,TNFRSF9"	2
"Ophthalmic Disease,Organismal Injury and Abnormalities"	Open-angle glaucoma	1.29E-02	"CA13,CACNA1A,SAA1"	3
"Cellular Development,Cellular Growth and Proliferation"	Proliferation of blood cells	1.30E-02	"BIRC3,DAPP1,EBI3,ERG,HHLA2,IL21R,IL31RA,ITGB2,LY96,NR4A3,PDCD1LG2,PLP1,RASGRP3,TNFRSF9,ULBP2"	15
Tissue Development	Mineralization of extracellular matrix	1.34E-02	"IHH,VTN"	2
"Cancer,Organismal Injury and Abnormalities,Reproductive System Disease"	Tumorigenesis of reproductive tract	1.37E-02	"ABCA4,ABCA8,ACE2,ATP6V0A4,AZGP1,CACNA1A,CRABP1,CRTAC1,CTSS,DAB2,DYDC1,ERG,FBLN5,FLG2,GRPR,HHLA2,HSD17B6,IL21R,IL31RA,JPH2,KCNB1,KCNK9,KRT23,MAP6,MUC1,MYH2,NMNAT2,NR4A3,OTOP1,PDCD1LG2,PLP1,RAET1G,RAET1L,RASGRP3,RXRG,RYR3,SAA1,SIRPB2,SLC18A3,SMPDL3B,STOML3,SYTL2,TEX15,TGM1,TGM4,TNFAIP8L3,TNFRSF9,UBE2QL1,VSIG1,VTN,VWA5B1,WSCD2"	52
"Cancer,Organismal Injury and Abnormalities,Reproductive System Disease"	Female genital neoplasm	1.43E-02	"ABCA4,ABCA8,ACE2,ATP6V0A4,AZGP1,CACNA1A,CRABP1,CRTAC1,CTSS,DAB2,DYDC1,ERG,FBLN5,FLG2,GRPR,HHLA2,HSD17B6,IL21R,IL31RA,JPH2,KCNB1,KCNK9,KRT23,MAP6,MUC1,MYH2,NMNAT2,NR4A3,OTOP1,PDCD1LG2,PLP1,RAET1G,RAET1L,RASGRP3,RXRG,RYR3,SAA1,SIRPB2,SLC18A3,SMPDL3B,STOML3,SYTL2,TEX15,TGM1,TGM4,TNFAIP8L3,TNFRSF9,UBE2QL1,VSIG1,VTN,VWA5B1,WSCD2"	52
"Cellular Function and Maintenance,Hematological System Development and Function"	Function of CD8+ T lymphocyte	1.43E-02	"IL21R,PDCD1LG2"	2
"Cell-To-Cell Signaling and Interaction,Cellular Function and Maintenance,Hematological System Development and Function,Inflammatory Response"	Phagocytosis by peritoneal macrophages	1.43E-02	"SAA1,VTN"	2
"Connective Tissue Disorders,Inflammatory Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders"	Rheumatic Disease	1.51E-02	"ADAMTS14,AZGP1,CACNA1A,CTSS,EBI3,ERG,FOSB,HSPB2,IHH,IL21R,ITGB2,NMNAT2,NR4A3,PDCD1LG2,RASGRP3,SAA1,TNFRSF9,VIPR2,VTN,ZBED2"	20
"Cell-To-Cell Signaling and Interaction,Cellular Assembly and Organization,Hematological System Development and Function,Immune Cell Trafficking"	Cell-cell adhesion of leukocytes	1.52E-02	"ITGB2,OLR1"	2
"Cardiovascular Disease,Organismal Injury and Abnormalities"	Vaso-occlusion	1.58E-02	"BIRC3,CA13,CTSS,ERG,FOSB,ITGB2,OLR1,SAA1,TNFRSF9,VTN"	10
Cell Death and Survival	Apoptosis of phagocytes	1.58E-02	"BIRC3,ITGB2,NR4A3,TNFRSF9,VTN"	5
"Cell Morphology,Embryonic Development,Hair and Skin Development and Function,Organ Development,Organismal Development,Tissue Development"	Keratinization of epidermis	1.59E-02	"KRT23,KRT83,KRTAP2-3/KRTAP2-4,KRTAP3-1"	4
"Humoral Immune Response,Protein Synthesis"	Quantity of IgA	1.61E-02	"IL21R,ITGB2,TNFRSF9"	3
Organismal Functions	Basal metabolic rate	1.62E-02	"RXRG,UBD"	2
"Cellular Development,Cellular Growth and Proliferation,Reproductive System Development and Function"	Proliferation of prostate cell lines	1.62E-02	"DAB2,ERG"	2
"Inflammatory Response,Organismal Injury and Abnormalities"	Inflammation of organ	1.62E-02	"ABCA4,ACE2,ASB2,BIRC3,CA13,CTSS,DDIT4,EBI3,GPD1,IL21R,IL31RA,ITGB2,LOR,LY96,MUC1,PDCD1LG2,PLP1,RFTN1,RXRG,TNFRSF9,UBD"	21
Molecular Transport	Transport of molecule	1.63E-02	"ABCA4,ANKRD1,ATP13A4,ATP6V0A4,C1QTNF2,CA13,CACNA1A,CTSS,FBLN5,FOSB,KCNB1,KCNG3,KCNK9,NR4A3,OLR1,OTOP1,RYR3,SAA1,SLC18A3,SLC7A7,STOML3,STX11,SYTL2,TNFAIP8L3"	24
"Cell-To-Cell Signaling and Interaction,Inflammatory Response"	Immune response of T lymphocytes	1.63E-02	"PDCD1LG2,PLP1,TNFRSF9,VTN"	4
"Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Lymphoid Tissue Structure and Development"	Proliferation of lymphocytes	1.64E-02	"BIRC3,DAPP1,EBI3,HHLA2,IL21R,IL31RA,ITGB2,LY96,PDCD1LG2,PLP1,RASGRP3,TNFRSF9,ULBP2"	13
"Cell-mediated Immune Response,Cellular Development,Cellular Function and Maintenance,Cellular Growth and Proliferation,Embryonic Development,Hematological System Development and Function,Hematopoiesis,Lymphoid Tissue Structure and Development,Organ Development,Organismal Development,Tissue Development"	Development of helper T lymphocytes	1.66E-02	"IL21R,ITGB2,TNFRSF9"	3
"Humoral Immune Response,Protein Synthesis"	Quantity of IgG3	1.66E-02	"DAPP1,IL21R,TNFRSF9"	3
"Organismal Injury and Abnormalities,Respiratory Disease"	Chronic obstructive pulmonary disease	1.66E-02	"CA13,CTSS,DDIT4,FBLN5,KCNK9"	5
Cell-To-Cell Signaling and Interaction	Adhesion of tumor cell lines	1.69E-02	"CYP2J2,DAB2,FBLN5,ITGB2,MUC1,SAA1,VTN"	7
Nutritional Disease	Central obesity	1.71E-02	"ACE2,CA13"	2
"Lipid Metabolism,Small Molecule Biochemistry,Vitamin and Mineral Metabolism"	Metabolism of retinol	1.71E-02	"DHRS9,RDH16"	2
"Cardiovascular System Development and Function,Cell-To-Cell Signaling and Interaction"	Binding of endothelial cells	1.74E-02	"ERG,FBLN5,ITGB2,OLR1,VTN"	5
Cell-To-Cell Signaling and Interaction	Aggregation of cells	1.80E-02	"DAB2,EMILIN2,ITGB2,MUC1,OLR1,TNFRSF9,VTN"	7
"Cell Morphology,Cellular Movement"	Cell spreading of lung cell lines	1.81E-02	VTN	1
"Dermatological Diseases and Conditions,Hereditary Disorder,Organismal Injury and Abnormalities"	Autosomal recessive congenital ichthyosis type 1	1.81E-02	TGM1	1
"Cardiovascular System Development and Function,Connective Tissue Development and Function,Tissue Morphology"	Thickness of vessel tunica externa	1.81E-02	FBLN5	1
"Cellular Function and Maintenance,Tissue Development"	Organization of cell envelopes	1.81E-02	TGM1	1
"Cell-To-Cell Signaling and Interaction,Hematological System Development and Function"	Conjugation of B-lymphocyte derived cell lines	1.81E-02	ITGB2	1
"Cell-To-Cell Signaling and Interaction,Cellular Assembly and Organization"	Cell-cell adhesion of leukemia cell lines	1.81E-02	DAB2	1
"DNA Replication, Recombination, and Repair"	Injury of DNA	1.81E-02	CTSS	1
Cellular Development	Differentiation of neuronal hybrid cells	1.81E-02	NR4A3	1
Cell Cycle	Arrest in cell cycle progression of neuronal hybrid cells	1.81E-02	NR4A3	1
"Connective Tissue Disorders,Developmental Disorder,Hereditary Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders"	Brachydactyly type A1	1.81E-02	IHH	1
"Cellular Assembly and Organization,Cellular Compromise"	Formation of polyglutamine inclusion	1.81E-02	HSPB2	1
"Cancer,Dermatological Diseases and Conditions,Organismal Injury and Abnormalities"	Squamous papilloma	1.81E-02	IHH	1
"Cellular Assembly and Organization,Nervous System Development and Function"	Turnover of synaptic vesicles	1.81E-02	CACNA1A	1
"Lipid Metabolism,Molecular Transport,Small Molecule Biochemistry,Vitamin and Mineral Metabolism"	Clearance of retinaldehyde	1.81E-02	ABCA4	1
Infectious Diseases	Infectivity of Rhesus rotavirus	1.81E-02	VTN	1
"Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities"	Susceptibility to migraine type 1	1.81E-02	CACNA1A	1
Behavior	Falling of mice	1.81E-02	RXRG	1
"Cellular Assembly and Organization,Cellular Development,Cellular Growth and Proliferation,Embryonic Development,Organ Development,Organismal Development,Reproductive System Development and Function,Tissue Development"	Formation of zona pellucida	1.81E-02	IHH	1
"Cell Morphology,Organ Morphology,Organismal Development,Renal and Urological System Development and Function,Tissue Morphology"	Thickness of glomerular basement membrane	1.81E-02	ACE2	1
"Dermatological Diseases and Conditions,Developmental Disorder,Hereditary Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders"	Autosomal dominant monilethrix	1.81E-02	KRT83	1
"Lipid Metabolism,Small Molecule Biochemistry,Vitamin and Mineral Metabolism"	Synthesis of retinaldehyde	1.81E-02	ABCA4	1
"Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response"	Trafficking of neutrophils	1.81E-02	ITGB2	1
Organismal Injury and Abnormalities	Obstruction of lumen	1.81E-02	OLR1	1
"Developmental Disorder,Hereditary Disorder,Ophthalmic Disease,Organismal Injury and Abnormalities"	Bull's eye maculopathy	1.81E-02	ABCA4	1
"Drug Metabolism,Lipid Metabolism,Molecular Transport,Small Molecule Biochemistry,Vitamin and Mineral Metabolism"	Quantity of alitretinoin	1.81E-02	RDH16	1
"Hereditary Disorder,Immunological Disease,Organismal Injury and Abnormalities"	Leukocyte adhesion deficiency type I	1.81E-02	ITGB2	1
"Nervous System Development and Function,Neurological Disease"	Lack of superior cervical ganglion	1.81E-02	GFRA3	1
"Connective Tissue Disorders,Developmental Disorder,Hereditary Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders"	Achondroplastic dwarfism	1.81E-02	IHH	1
"Lipid Metabolism,Small Molecule Biochemistry"	"Synthesis of 11,12-epoxyeicosatrienoic acid"	1.81E-02	OLR1	1
Cell Cycle	Polyploidization of leukemia cell lines	1.81E-02	SCIN	1
"DNA Replication, Recombination, and Repair,Nucleic Acid Metabolism,Small Molecule Biochemistry"	Hydrolysis of NAD+	1.81E-02	ART5	1
"Developmental Disorder,Hereditary Disorder,Ophthalmic Disease,Organismal Injury and Abnormalities"	Stargardt disease 1	1.81E-02	ABCA4	1
Cellular Function and Maintenance	Internalization of Yersinia pestis	1.81E-02	LY96	1
"Cellular Function and Maintenance,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response"	Retention of monocytes	1.81E-02	ITGB2	1
"Cancer,Cell Death and Survival,Organismal Injury and Abnormalities,Tumor Morphology"	Lysis of myeloma cells	1.81E-02	ULBP2	1
"Metabolic Disease,Organismal Injury and Abnormalities"	AA amyloidosis	1.81E-02	SAA1	1
"Cell Morphology,Hematological System Development and Function,Inflammatory Response"	Cell flattening of macrophages	1.81E-02	VTN	1
"Hereditary Disorder,Metabolic Disease,Organismal Injury and Abnormalities,Renal and Urological Disease"	Autosomal recessive distal renal tubular acidosis	1.81E-02	ATP6V0A4	1
Cell-To-Cell Signaling and Interaction	Density of focal adhesions	1.81E-02	VTN	1
"Cell-To-Cell Signaling and Interaction,Molecular Transport,Small Molecule Biochemistry"	Transport of acetylcholine	1.81E-02	SLC18A3	1
"Cellular Development,Embryonic Development,Organismal Development,Tissue Development"	Differentiation of visceral endoderm	1.81E-02	DAB2	1
"Lipid Metabolism,Molecular Transport,Small Molecule Biochemistry,Vitamin and Mineral Metabolism"	Quantity of retinyl palmitate	1.81E-02	ABCA4	1
"Drug Metabolism,Endocrine System Development and Function,Lipid Metabolism,Molecular Transport,Small Molecule Biochemistry"	Accumulation of beta-estradiol	1.81E-02	SAA1	1
"Cell Death and Survival,Organismal Injury and Abnormalities,Renal and Urological Disease"	Quantity of apoptotic kidney cell lines	1.81E-02	OLR1	1
"Dermatological Diseases and Conditions,Developmental Disorder,Hereditary Disorder,Organismal Injury and Abnormalities"	Erythrokeratodermia variabilis et progressiva 1	1.81E-02	GJB4	1
"Neurological Disease,Organ Morphology,Organismal Injury and Abnormalities"	Atrophy of cerebellar cortex	1.81E-02	CACNA1A	1
Behavior	Reversal learning	1.81E-02	SLC18A3	1
Cellular Compromise	Degeneration of nucleus	1.81E-02	TGM1	1
Nervous System Development and Function	Spreading depression of hippocampus	1.81E-02	CACNA1A	1
"Lipid Metabolism,Molecular Transport,Small Molecule Biochemistry"	Absorption of triolein	1.81E-02	AZGP1	1
"Dermatological Diseases and Conditions,Organismal Injury and Abnormalities"	Refractory skin manifestation	1.81E-02	RXRG	1
"Cell Cycle,Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Inflammatory Response"	Effector phase of CD8+ T lymphocyte	1.81E-02	TNFRSF9	1
Visual System Development and Function	Light sensitivity of photoreceptors	1.81E-02	ABCA4	1
"Cell-mediated Immune Response,Cell-To-Cell Signaling and Interaction,Cellular Assembly and Organization,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking"	Cell-cell adhesion of T lymphocytes	1.81E-02	ITGB2	1
"Embryonic Development,Nervous System Development and Function,Organ Development,Organismal Development"	Maturation of cerebellum	1.81E-02	CACNA1A	1
"Cell Morphology,Cellular Movement,Nervous System Development and Function"	Innervation of sympathetic neuron	1.81E-02	GFRA3	1
"Cancer,Endocrine System Disorders,Gastrointestinal Disease,Organismal Injury and Abnormalities"	Angiogenesis of pancreatic carcinoma	1.81E-02	CTSS	1
"Cell-To-Cell Signaling and Interaction,Cellular Compromise,Tumor Morphology"	Adhesion of glioma cells	1.81E-02	VTN	1
"Immune Cell Trafficking,Inflammatory Response"	Margination of neutrophils	1.81E-02	ITGB2	1
"Cardiovascular Disease,Cardiovascular System Development and Function,Organ Morphology,Organismal Development,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders"	Nonischemic dilated cardiomyopathy	1.81E-02	SLC18A3	1
"Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response,Lymphoid Tissue Structure and Development"	Clustering of follicular dendritic cells	1.81E-02	TNFRSF9	1
"Cellular Development,Cellular Growth and Proliferation,Tissue Development"	Proliferation of epithelial stem cells	1.81E-02	IHH	1
Cellular Assembly and Organization	Transport of lysosome	1.81E-02	MAP6	1
"Cell-To-Cell Signaling and Interaction,Hematological System Development and Function"	Interaction of invariant natural killer T cells	1.81E-02	SAA1	1
"Cellular Assembly and Organization,Tissue Morphology"	Quantity of melanosomes	1.81E-02	SYTL2	1
"Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Humoral Immune Response,Immune Cell Trafficking,Inflammatory Response"	Hyperactivation of B lymphocytes	1.81E-02	ITGB2	1
Cell Death and Survival	Killing of leukemia cell lines	1.81E-02	"RAET1L,ULBP2"	2
